安全位形采样时间,初始位形采样时间
0.000296831,7.51019e-05
0.000221014,5.10216e-05
0.000218868,4.81606e-05
0.000185013,5.29289e-05
0.000113964,5.19753e-05
0.000427008,0.000191927
0.000249863,8.51154e-05
0.000241041,6.38962e-05
0.000279903,7.39098e-05
0.000255108,7.08103e-05
0.00022912,4.69685e-05
0.000324965,9.799e-05
0.000262976,5.88894e-05
0.000136137,5.38826e-05
0.000272036,7.89165e-05
0.000287056,7.29561e-05
0.000293016,7.79629e-05
0.000247002,5.29289e-05
0.000334024,0.00010705
0.000109196,5.29289e-05安全位形采样时间,初始位形采样时间
0.000372887,5.00679e-05
0.000236988,0.000104189
0.000245094,6.50883e-05
0.000183105,7.60555e-05
0.000132084,6.79493e-05
0.000300884,8.29697e-05
0.000301838,9.5129e-05
0.00033021,8.29697e-05
0.000250101,4.50611e-05
0.000239849,7.10487e-05
0.000407934,0.000128984
0.000139952,7.51019e-05
0.000426054,0.000116825
0.000218153,9.39369e-05
0.000329971,6.29425e-05
0.000213861,4.81606e-05
0.000250101,5.6982e-05
0.000200033,6.79493e-05
0.000191927,5.81741e-05
0.000432968,8.70228e-05
0.000266075,7.29561e-05
0.000241995,6.69956e-05
0.000291109,5.88894e-05
0.000165939,8.29697e-05
0.000271082,7.51019e-05
0.0030849,0.0002141
0.000218153,7.29561e-05
0.00029707,8.89301e-05
0.000280142,8.79765e-05
0.000288963,8.10623e-05
0.000293016,5.19753e-05
0.000272036,7.20024e-05
0.000271797,7.00951e-05
9.98974e-05,5.81741e-05
0.000265837,9.01222e-05
0.000179052,9.20296e-05
0.000283003,4.3869e-05
0.000211954,8.10623e-05
0.000354767,0.000115156
0.000121832,6.8903e-05
0.000444889,9.48906e-05
0.000298977,6.60419e-05
0.000267982,5.48363e-05
0.000236034,6.38962e-05
0.000422955,9.29832e-05
0.000501156,0.000127792
0.000432014,0.000111103
0.000313044,0.000129938
0.000567198,9.08375e-05
0.000706911,0.000113964
0.000500917,0.000106096
0.000398874,0.000183105
0.000248909,9.60827e-05
0.000123024,5.48363e-05
0.000771999,0.0001719
0.000349045,7.70092e-05
